"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"KAZ","","ALL","1997","102.27"
"AZE","","ALL","1990","37.32"
"SWE","","ALL","1982","9.42"
"BLR","","ALL","2005","54.3"
"CHE","","ALL","1990","19.04"
"KAZ","","ALL","2001","176.46"
"HUN","","ALL","1993","40.64"
"SVN","","ALL","2009","9.11"
"GRC","","ALL","2003","5.39"
"MLT","","ALL","1987","4.06"
"NOR","","ALL","1985","9.01"
"GRC","","ALL","1986","15.72"
"CYP","","ALL","1991","7.23"
"NLD","","ALL","2010","6.18"
"NLD","","ALL","2009","6.81"
"BIH","","ALL","1999","78.02"
"BIH","","ALL","2004","60.19"
"SVK","","ALL","2001","18.33"
"CYP","","ALL","1995","5.53"
"ROU","","ALL","2014","75.62"
"CYP","","ALL","1998","6.63"
"CYP","","ALL","1996","3.63"
"RUS","","ALL","2016","64.42"
"CYP","","ALL","2004","4.1"
"TKM","","ALL","1985","49.84"
"ISR","","ALL","1984","6.18"
"EST","","ALL","1994","42.6"
"CYP","","ALL","2005","4.58"
"LTU","","ALL","1988","36.64"
"","CIS","ALL","1988","47.47"
"UZB","","ALL","1981","59.27"
"EST","","ALL","2014","17.93"
"NOR","","ALL","2012","6.83"
"LTU","","ALL","2004","60.29"
"","EU_AFTER_MAY2004","ALL","1982","55.08"
"","SMALL","ALL","2005","10.09"
"UZB","","ALL","2008","62.91"
"AZE","","ALL","1988","47.96"
"ALB","","ALL","2008","14.49"
"AUT","","ALL","1998","16.32"
"AZE","","ALL","1985","56.65"
"GRC","","ALL","2013","4.47"
"AND","","ALL","1994","37.05"
"MCO","","ALL","1985","3.7"
"AZE","","ALL","1980","50"
"RUS","","ALL","1988","46.11"
"LUX","","ALL","2013","6.99"
"LUX","","ALL","2009","5.42"
"KGZ","","ALL","2014","109.35"
"HUN","","ALL","1992","38.19"
"ALB","","ALL","1994","22.08"
"CZE","","ALL","1985","30.14"
"SVN","","ALL","1985","46.73"
"HUN","","ALL","1995","42.01"
"ITA","","ALL","1986","7.12"
"BLR","","ALL","1986","41.22"
"BLR","","ALL","1983","55.85"
"TUR","","ALL","1984","56.27"
"POL","","ALL","2005","21.5"
"POL","","ALL","2008","19.47"
"POL","","ALL","2003","26.51"
"POL","","ALL","2006","21.02"
"TUR","","ALL","1991","44.9"
"ESP","","ALL","1983","23.54"
"TUR","","ALL","1989","48.63"
"SMR","","ALL","2001","0"
"ITA","","ALL","2000","6.15"
"BEL","","ALL","1981","28.81"
"KAZ","","ALL","2011","151.52"
"EST","","ALL","2000","56.62"
"GBR","","ALL","2014","10.29"
"MKD","","ALL","2007","25.74"
"UZB","","ALL","1992","43.15"
"LTU","","ALL","2006","72.33"
"LTU","","ALL","2001","74.85"
"","EU_BEFORE_MAY2004","ALL","1992","15.46"
"HRV","","ALL","2016","10.63"
"","SMALL","ALL","2000","10.78"
"CHE","","ALL","1987","15.55"
"ISL","","ALL","2007","3.85"
"KAZ","","ALL","2003","235.73"
"RUS","","ALL","2011","78.98"
"BLR","","ALL","2004","55.4"
"RUS","","ALL","2006","87.51"
"HRV","","ALL","2015","11.41"
"ALB","","ALL","1998","20.69"
"ARM","","ALL","2007","52.13"
"MLT","","ALL","1988","3.45"
"","EU_BEFORE_MAY2004","ALL","1980","20.79"
"MCO","","ALL","1981","0"
"HRV","","ALL","1987","70.17"
"CHE","","ALL","1989","16.61"
"","SMALL","ALL","1991","13.41"
"","SMALL","ALL","1998","11.56"
"BEL","","ALL","1988","16.04"
"","EU_MEMBERS","ALL","1993","23.31"
"","EU_MEMBERS","ALL","1996","22.61"
"TJK","","ALL","2012","82.41"
"CHE","","ALL","1999","10.13"
"BEL","","ALL","1989","16.58"
"ESP","","ALL","2003","23.54"
"CHE","","ALL","2000","8.03"
"","CARINFONET","ALL","2012","74.31"
"CYP","","ALL","2016","6.76"
"LVA","","ALL","1992","36.53"
"BEL","","ALL","2008","8.77"
"UKR","","ALL","1994","39.91"
"IRL","","ALL","1994","15.17"
"KAZ","","ALL","2009","156.39"
"ESP","","ALL","1990","19.51"
"GBR","","ALL","2016","8.9"
"ALB","","ALL","1986","32.8"
"","CIS","ALL","2010","84.36"
"ISR","","ALL","2009","4.64"
"ISR","","ALL","2012","6.4"
"","EU_AFTER_MAY2004","ALL","1983","54.02"
"BLR","","ALL","2008","52.95"
"CHE","","ALL","2014","5.15"
"SWE","","ALL","1980","11.14"
"ROU","","ALL","2013","69.42"
"BLR","","ALL","2009","54.3"
"GEO","","ALL","1988","29.72"
"KAZ","","ALL","2000","173.8"
"BGR","","ALL","2003","41.71"
"UZB","","ALL","2014","62.25"
"EST","","ALL","1982","37.57"
"CZE","","ALL","1987","21.22"
"BLR","","ALL","2007","55.15"
"ROU","","ALL","2011","79.82"
"ARM","","ALL","1999","46.04"
"GBR","","ALL","1982","14.99"
"BIH","","ALL","2005","54.03"
"TJK","","ALL","1997","36.81"
"CYP","","ALL","1981","13.4"
"NOR","","ALL","1982","10.89"
"NLD","","ALL","2013","4.95"
"ROU","","ALL","2016","66.02"
"NLD","","ALL","2008","5.86"
"BLR","","ALL","2014","40.61"
"NLD","","ALL","2007","5.68"
"PRT","","ALL","2016","17.41"
"TJK","","ALL","1999","42.1"
"CYP","","ALL","1988","6.97"
"CYP","","ALL","1994","5.79"
"TKM","","ALL","1982","51.88"
"ISR","","ALL","1983","5.5"
"TJK","","ALL","2007","88.2"
"NOR","","ALL","1993","5.94"
"EST","","ALL","2002","44.95"
"CHE","","ALL","2008","6.05"
"BEL","","ALL","1982","26.9"
"","CIS","ALL","1989","45.26"
"ALB","","ALL","1987","29.75"
"AUT","","ALL","2012","7.36"
"ITA","","ALL","1981","5.56"
"ISR","","ALL","2013","3.82"
"CHE","","ALL","1988","18.22"
"KAZ","","ALL","1996","87.58"
"FIN","","ALL","2013","4.89"
"","SMALL","ALL","1995","11.15"
"MCO","","ALL","1986","7.41"
"MDA","","ALL","1981","70.32"
"BLR","","ALL","2001","55.21"
"RUS","","ALL","2013","74.25"
"KAZ","","ALL","1990","65.8"
"RUS","","ALL","2010","87.72"
"EST","","ALL","2010","21.48"
"BGR","","ALL","2000","40.99"
"MDA","","ALL","1996","67.57"
"MDA","","ALL","1988","58.12"
"HUN","","ALL","1988","37.9"
"HUN","","ALL","1990","34.59"
"SVN","","ALL","1992","32.07"
"SVN","","ALL","1995","26.42"
"HUN","","ALL","1996","42.7"
"CZE","","ALL","1984","35.36"
"AND","","ALL","2000","18.21"
"HUN","","ALL","2015","8.71"
"BLR","","ALL","1984","51.19"
"POL","","ALL","1998","34.4"
"TUR","","ALL","1988","52.05"
"EST","","ALL","1981","37.64"
"SMR","","ALL","2002","3.7"
"LUX","","ALL","1983","11.22"
"FRA","","ALL","1999","10.32"
"CZE","","ALL","2005","9.51"
"LUX","","ALL","1984","12.58"
"","EU_BEFORE_MAY2004","ALL","1999","12.36"
"ITA","","ALL","2001","7.53"
"FRA","","ALL","2008","8.72"
"SRB","","ALL","2016","20.64"
"CYP","","ALL","2007","5.31"
"MKD","","ALL","2009","21.94"
"HUN","","ALL","1987","38.87"
"UZB","","ALL","1989","53.14"
"LTU","","ALL","2005","63.63"
"LTU","","ALL","2008","65.54"
"","EU_BEFORE_MAY2004","ALL","1995","14.72"
"AZE","","ALL","1991","38.62"
"AZE","","ALL","1989","42.9"
"SMR","","ALL","1991","4.35"
"HRV","","ALL","1980","87.23"
"MCO","","ALL","1990","3.57"
"MCO","","ALL","1988","3.57"
"ALB","","ALL","2015","14.36"
"GBR","","ALL","2013","11.52"
"LTU","","ALL","1980","47.93"
"ARM","","ALL","2001","43.2"
"PRT","","ALL","2001","41.69"
"","EU_MEMBERS","ALL","1992","22.57"
"","SMALL","ALL","1993","11.89"
"","EU_AFTER_MAY2004","ALL","1981","56.5"
"","EU_AFTER_MAY2004","ALL","1980","59.7"
"LUX","","ALL","2010","5.72"
"","CARINFONET","ALL","2002","110.64"
"PRT","","ALL","2008","26.68"
"CYP","","ALL","1985","11.27"
"SVK","","ALL","2003","18.18"
"PRT","","ALL","2003","38.21"
"ESP","","ALL","1998","22.67"
"ISL","","ALL","2012","3.12"
"CHE","","ALL","1997","10.54"
"","WHO_EURO","ALL","1990","28.74"
"IRL","","ALL","1980","33.87"
"","CARINFONET","ALL","2011","87.46"
"IRL","","ALL","1992","17"
"LVA","","ALL","1987","36.09"
"","SEEHN","ALL","2010","52.85"
"LVA","","ALL","1989","32.13"
"","SEEHN","ALL","2012","48.02"
"ITA","","ALL","2002","6.88"
"","NORDIC","ALL","2016","5.63"
"NOR","","ALL","2013","7.13"
"ISR","","ALL","1988","5.09"
"RUS","","ALL","1994","48.26"
"LTU","","ALL","1998","84.97"
"LTU","","ALL","2012","54.72"
"","WHO_EURO","ALL","1982","38.75"
"","CIS","ALL","1996","65.11"
"HRV","","ALL","1986","71.05"
"MKD","","ALL","1994","37.41"
"LTU","","ALL","2002","70.11"
"POL","","ALL","1983","64.01"
"CZE","","ALL","1986","24.68"
"KAZ","","ALL","1998","136.82"
"AZE","","ALL","1981","50.86"
"SWE","","ALL","1981","10.52"
"MLT","","ALL","2006","7.4"
"ALB","","ALL","1980","39.31"
"MLT","","ALL","1990","3.67"
"","SMALL","ALL","2014","8.04"
"MLT","","ALL","1986","4.08"
"NOR","","ALL","1980","12.21"
"GRC","","ALL","1991","7.43"
"CYP","","ALL","1983","13.84"
"TJK","","ALL","1992","30.18"
"BLR","","ALL","1988","37.24"
"PRT","","ALL","2005","31.49"
"CYP","","ALL","1990","5.01"
"TJK","","ALL","2002","62.91"
"CYP","","ALL","1987","6.32"
"SMR","","ALL","2016","0"
"TJK","","ALL","2000","44.91"
"CYP","","ALL","1982","16.51"
"CYP","","ALL","2000","4.76"
"TJK","","ALL","2003","132.98"
"TJK","","ALL","2009","96.76"
"TJK","","ALL","2001","55.57"
"TJK","","ALL","2004","67.49"
"CYP","","ALL","2009","6.27"
"CHE","","ALL","2010","6.49"
"EST","","ALL","2003","42.53"
"ESP","","ALL","1992","24.88"
"LUX","","ALL","2002","6.95"
"TKM","","ALL","1991","62.93"
"UZB","","ALL","1996","51.53"
"EST","","ALL","2007","34.01"
"LTU","","ALL","2007","69.17"
"CZE","","ALL","1989","18.38"
"MDA","","ALL","1989","52.47"
"SMR","","ALL","1990","4.35"
"MCO","","ALL","1997","0"
"MKD","","ALL","2000","31.63"
"MKD","","ALL","2001","31.84"
"","NORDIC","ALL","2012","5.99"
"SWE","","ALL","2015","7.98"
"IRL","","ALL","2012","7.44"
"PRT","","ALL","1999","45.01"
"SVN","","ALL","2008","10.2"
"SVN","","ALL","2007","10.6"
"SVN","","ALL","2003","14.27"
"ALB","","ALL","2003","17.89"
"SVN","","ALL","2006","10.31"
"SVN","","ALL","1994","26.45"
"BLR","","ALL","1994","42.18"
"TKM","","ALL","2004","67.9"
"CHE","","ALL","1983","17.09"
"GEO","","ALL","2011","101.42"
"TJK","","ALL","1995","35.8"
"SVN","","ALL","1991","29.12"
"SVN","","ALL","1988","38"
"ITA","","ALL","1990","7.36"
"POL","","ALL","2001","26.54"
"BEL","","ALL","2014","7.89"
"CZE","","ALL","2009","6.02"
"POL","","ALL","2002","26.34"
"","EU_MEMBERS","ALL","2005","17.27"
"SVK","","ALL","2015","5.68"
"ISL","","ALL","1985","5.39"
"AZE","","ALL","2012","68.45"
"LUX","","ALL","1986","12.25"
"FRA","","ALL","2007","8.8"
"LTU","","ALL","1983","42.2"
"EST","","ALL","2001","51"
"BEL","","ALL","2015","8.24"
"TUR","","ALL","2016","15.37"
"CZE","","ALL","1981","41.85"
"CZE","","ALL","1988","19.77"
"ARM","","ALL","2016","33.94"
"ISL","","ALL","2001","4.21"
"MKD","","ALL","1995","39.98"
"RUS","","ALL","1997","81.51"
"FIN","","ALL","2014","4.6"
"AZE","","ALL","1992","38.83"
"MCO","","ALL","1992","3.57"
"MDA","","ALL","1997","79.58"
"ALB","","ALL","2005","16.8"
"","EU_MEMBERS","ALL","1986","24.99"
"MCO","","ALL","1987","7.41"
"MKD","","ALL","1997","34.7"
"","CIS","ALL","1990","37.31"
"","CIS","ALL","1994","48.08"
"LUX","","ALL","2012","8.48"
"CZE","","ALL","2015","4.82"
"","SMALL","ALL","1994","12.29"
"","EU_MEMBERS","ALL","2002","19.59"
"CYP","","ALL","1986","8.77"
"SVN","","ALL","1998","22.65"
"UKR","","ALL","1980","52.3"
"","SMALL","ALL","1992","12.28"
"","EU_BEFORE_MAY2004","ALL","1986","18.16"
"ESP","","ALL","2004","14.09"
"ESP","","ALL","2001","16.87"
"ESP","","ALL","2002","17.63"
"","WHO_EURO","ALL","1987","34.51"
"IRL","","ALL","1985","22.71"
"ESP","","ALL","2013","11.25"
"LVA","","ALL","1993","38.78"
"BEL","","ALL","2006","9.89"
"MKD","","ALL","2016","12.64"
"IRL","","ALL","1984","23.72"
"DNK","","ALL","2012","6.12"
"LUX","","ALL","1985","11.47"
"LUX","","ALL","1991","12.4"
"EST","","ALL","1998","59.16"
"BLR","","ALL","1982","55.98"
"TKM","","ALL","2000","90.56"
"TKM","","ALL","1988","54.76"
"RUS","","ALL","2002","90.18"
"","EU_AFTER_MAY2004","ALL","1984","51.24"
"BGR","","ALL","2015","22.64"
"ESP","","ALL","1996","21.21"
"MKD","","ALL","1998","30.88"
"BGR","","ALL","2009","35"
"","EU_AFTER_MAY2004","ALL","2016","23.8"
"FRA","","ALL","2013","7.38"
"MCO","","ALL","1984","0"
"AZE","","ALL","1982","50.66"
"MLT","","ALL","1998","4.24"
"ARM","","ALL","2006","54.7"
"ARM","","ALL","2002","44.6"
"GBR","","ALL","1985","11.79"
"BIH","","ALL","2003","46.69"
"DEU","","ALL","1994","15.94"
"IRL","","ALL","2009","9.58"
"GRC","","ALL","1997","7.12"
"SVN","","ALL","1990","36.13"
"","EU_MEMBERS","ALL","1999","21.05"
"GEO","","ALL","2010","104.67"
"HRV","","ALL","2014","11.65"
"CYP","","ALL","1993","5.91"
"TJK","","ALL","1998","41.22"
"ISR","","ALL","1980","6.42"
"TJK","","ALL","1991","38.95"
"FRA","","ALL","1998","10.16"
"TJK","","ALL","1996","28.72"
"CYP","","ALL","1997","7.01"
"MDA","","ALL","2015","88.67"
"BGR","","ALL","1980","37.01"
"SVN","","ALL","2014","6.87"
"EST","","ALL","1993","35.61"
"LUX","","ALL","1987","12.95"
"EST","","ALL","1996","48.25"
"LTU","","ALL","1985","40.99"
"LUX","","ALL","1992","6.37"
"LUX","","ALL","2006","6.98"
"RUS","","ALL","1995","57.85"
"","WHO_EURO","ALL","2015","29.4"
"LTU","","ALL","1996","72.41"
"","SMALL","ALL","2010","9.11"
"GEO","","ALL","1981","41.76"
"CYP","","ALL","2012","7.29"
"LTU","","ALL","1997","81.84"
"ITA","","ALL","1980","5.8"
"SRB","","ALL","2014","25.49"
"LTU","","ALL","2011","57.73"
"RUS","","ALL","1987","48.24"
"KAZ","","ALL","1999","167.34"
"BLR","","ALL","2002","51.78"
"","NORDIC","ALL","2004","5.71"
"MDA","","ALL","1993","55.79"
"BLR","","ALL","1999","73.13"
"SVN","","ALL","2013","6.75"
"SVN","","ALL","2002","16.94"
"HUN","","ALL","1991","35.26"
"BLR","","ALL","1990","29.76"
"","EU_MEMBERS","ALL","1998","22.4"
"GRC","","ALL","1987","11.93"
"BLR","","ALL","1985","48.94"
"CYP","","ALL","1989","4.05"
"GRC","","ALL","1981","75.38"
"UKR","","ALL","1984","48.01"
"CZE","","ALL","2004","10.06"
"FIN","","ALL","2001","8.87"
"HRV","","ALL","1989","60.02"
"CZE","","ALL","2010","5.89"
"ITA","","ALL","1999","7.78"
"","EU_BEFORE_MAY2004","ALL","1981","20.93"
"HRV","","ALL","1994","46.41"
"LVA","","ALL","2014","37.1"
"ITA","","ALL","1992","8.25"
"BEL","","ALL","2010","9.23"
"FRA","","ALL","2010","7.63"
"FRA","","ALL","2006","8.1"
"TKM","","ALL","1986","48.78"
"SWE","","ALL","2016","7.13"
"","NORDIC","ALL","2002","6.07"
"UZB","","ALL","1993","44.62"
"ISR","","ALL","2010","4.46"
"ISR","","ALL","2008","4.41"
"LTU","","ALL","1999","79.45"
"","SMALL","ALL","1999","11.14"
"BGR","","ALL","2008","38.62"
"","SEEHN","ALL","1983","52.7"
"TKM","","ALL","1998","81.55"
"","CARINFONET","ALL","1997","73.98"
"CZE","","ALL","1982","40.2"
"AUT","","ALL","1994","15.93"
"MCO","","ALL","1995","3.57"
"KAZ","","ALL","1991","64.39"
"POL","","ALL","2011","20.88"
"MCO","","ALL","1996","0"
"MCO","","ALL","1989","3.57"
"PRT","","ALL","2000","41.08"
"","EU_MEMBERS","ALL","2000","20.23"
"","CIS","ALL","1992","37.8"
"TJK","","ALL","2010","93.01"
"HUN","","ALL","1989","35.63"
"","SMALL","ALL","1988","11.77"
"UKR","","ALL","1983","47.82"
"CYP","","ALL","1984","7.29"
"TJK","","ALL","1994","15.91"
"HRV","","ALL","1990","53.91"
"MCO","","ALL","2000","0"
"POL","","ALL","2000","28.57"
"CHE","","ALL","1994","13.21"
"BEL","","ALL","1997","12.42"
"MDA","","ALL","2003","226.91"
"POL","","ALL","1988","48.96"
"LVA","","ALL","1985","47.42"
"ESP","","ALL","2011","13.9"
"TJK","","ALL","2006","81.4"
"IRL","","ALL","1986","17"
"KGZ","","ALL","1986","52.18"
"LUX","","ALL","1994","8.17"
"","CIS","ALL","1981","55.8"
"TJK","","ALL","2016","69.03"
"ISR","","ALL","1999","8.52"
"LTU","","ALL","1992","43.19"
"EST","","ALL","1988","30.16"
"LTU","","ALL","1995","65.08"
"TKM","","ALL","1999","93.34"
"UZB","","ALL","1987","51.27"
"UZB","","ALL","1988","51.8"
"KAZ","","ALL","1993","60.9"
"","NORDIC","ALL","1996","7.76"
"MCO","","ALL","1994","3.57"
"MKD","","ALL","1996","36.51"
"","NORDIC","ALL","1992","8.42"
"ARM","","ALL","2000","41.31"
"MLT","","ALL","1991","7.27"
"GRC","","ALL","2002","5.19"
"EST","","ALL","1984","35.95"
"ALB","","ALL","1982","35.15"
"GRC","","ALL","1988","9.04"
"GRC","","ALL","1999","8.6"
"BLR","","ALL","1987","38.85"
"","SMALL","ALL","1989","12.54"
"GEO","","ALL","2012","87.74"
"UKR","","ALL","2000","66.9"
"SWE","","ALL","1998","5.04"
"UKR","","ALL","2001","75.33"
"TJK","","ALL","1993","11.7"
"CYP","","ALL","1992","6.39"
"TJK","","ALL","1990","46.39"
"POL","","ALL","2004","22.78"
"HUN","","ALL","2012","11.68"
"MCO","","ALL","2002","0"
"BEL","","ALL","1999","10.99"
"POL","","ALL","1996","39.77"
"POL","","ALL","1993","43.76"
"TKM","","ALL","2007","69.04"
"ISL","","ALL","1981","9.97"
"EST","","ALL","1992","26.29"
"EST","","ALL","1995","43.43"
"SVK","","ALL","2016","5.18"
"","CIS","ALL","1984","52.8"
"HUN","","ALL","1981","49.68"
"AUT","","ALL","2010","7.92"
"LTU","","ALL","1989","37.48"
"AUT","","ALL","1980","29.19"
"","SEEHN","ALL","1985","50.36"
"GEO","","ALL","1984","35.61"
"MKD","","ALL","2008","21.98"
"","WHO_EURO","ALL","1981","41.42"
"","CIS","ALL","2000","89.32"
"RUS","","ALL","2003","90.44"
"KGZ","","ALL","2011","108.44"
"MDA","","ALL","1985","64.83"
"","NORDIC","ALL","2005","6.33"
"MDA","","ALL","1986","71.04"
"MDA","","ALL","1984","61.17"
"SVN","","ALL","2010","8.25"
"MLT","","ALL","2008","11.72"
"BLR","","ALL","1991","36.6"
"BLR","","ALL","1989","36.42"
"AND","","ALL","1991","42.27"
"DEU","","ALL","1999","12.15"
"SVN","","ALL","2000","18.49"
"SVN","","ALL","2004","12.47"
"GRC","","ALL","1982","53.05"
"GRC","","ALL","1980","56.13"
"AND","","ALL","1992","34.81"
"ITA","","ALL","1989","6.94"
"SVN","","ALL","1989","38.41"
"MCO","","ALL","2001","0"
"","EU_BEFORE_MAY2004","ALL","1987","16.26"
"POL","","ALL","2009","20.1"
"POL","","ALL","1997","36.14"
"MKD","","ALL","2015","13.61"
"SRB","","ALL","2008","37.02"
"GEO","","ALL","2016","80.04"
"FIN","","ALL","2016","4.07"
"LUX","","ALL","1981","12.34"
"FRA","","ALL","2005","8.2"
"","WHO_EURO","ALL","2010","36.82"
"ISR","","ALL","1994","7.32"
"CHE","","ALL","2016","6.84"
"MKD","","ALL","2010","18.69"
"GEO","","ALL","1985","34.69"
"ITA","","ALL","1982","6.8"
"","NORDIC","ALL","1995","8.07"
"ARM","","ALL","2012","40.11"
"ARM","","ALL","2013","46.23"
"ISL","","ALL","2000","4.62"
"","WHO_EURO","ALL","1980","41.67"
"","SMALL","ALL","1986","13.56"
"NOR","","ALL","2014","5.89"
"BGR","","ALL","2006","40.73"
"PRT","","ALL","2015","20.16"
"BGR","","ALL","2010","32.01"
"KAZ","","ALL","1992","64.36"
"KAZ","","ALL","1986","81.99"
"","EU_MEMBERS","ALL","1994","23.77"
"","SMALL","ALL","1985","13.91"
"LUX","","ALL","2008","5.73"
"HRV","","ALL","2010","15.57"
"SVN","","ALL","2001","18.02"
"BGR","","ALL","1993","37.92"
"AND","","ALL","1993","23.65"
"SWE","","ALL","2004","4.77"
"SWE","","ALL","1999","5.41"
"UKR","","ALL","2002","83.72"
"DNK","","ALL","1992","6.94"
"SVK","","ALL","1998","23.78"
"POL","","ALL","1999","31.48"
"MDA","","ALL","1999","74.34"
"ITA","","ALL","1996","7.31"
"","WHO_EURO","ALL","1988","32.83"
"POL","","ALL","1990","42.33"
"POL","","ALL","1994","43.21"
"POL","","ALL","1987","52.46"
"CZE","","ALL","1995","17.75"
"SRB","","ALL","2010","32"
"BEL","","ALL","2007","8.99"
"ARM","","ALL","1988","19.67"
"LUX","","ALL","1993","8.79"
"BEL","","ALL","1983","22.22"
"ISR","","ALL","2003","7.06"
"ISR","","ALL","1995","7.18"
"GEO","","ALL","1983","36.25"
"","CIS","ALL","2012","75.94"
"AUT","","ALL","1985","19.06"
"TKM","","ALL","1996","45.37"
"","EU_MEMBERS","ALL","1988","22.15"
"AUT","","ALL","2002","12.92"
"","NORDIC","ALL","1993","7.8"
"KAZ","","ALL","1987","82.18"
"ARM","","ALL","2005","68.56"
"ARM","","ALL","2009","48.09"
"MLT","","ALL","1997","2.93"
"","NORDIC","ALL","1981","17.53"
"","NORDIC","ALL","1980","18.32"
"UKR","","ALL","2008","82.1"
"NLD","","ALL","2011","5.81"
"NOR","","ALL","1981","11.24"
"SVN","","ALL","2005","13.44"
"DNK","","ALL","1987","6.28"
"GRC","","ALL","1989","10.59"
"DEU","","ALL","2000","11.03"
"EST","","ALL","1983","38.91"
"DEU","","ALL","1996","14.43"
"DEU","","ALL","1992","17.51"
"TJK","","ALL","2013","68.74"
"GEO","","ALL","2004","92.88"
"TJK","","ALL","1988","49.36"
"TUR","","ALL","1985","61.7"
"SVN","","ALL","1986","41.2"
"POL","","ALL","1995","41.36"
"CHE","","ALL","1995","11.79"
"","EU_BEFORE_MAY2004","ALL","1989","15.5"
"SRB","","ALL","2006","42.45"
"KAZ","","ALL","2014","87.75"
"POL","","ALL","1989","42.63"
"ISL","","ALL","1991","5.81"
"FIN","","ALL","2009","7.53"
"EST","","ALL","1997","53.16"
"TUR","","ALL","1995","38.46"
"MKD","","ALL","2003","34.39"
"CYP","","ALL","2013","4.76"
"RUS","","ALL","1993","43.3"
"ISL","","ALL","2003","1.73"
"POL","","ALL","2014","16.93"
"BGR","","ALL","2012","28.48"
"","EU_MEMBERS","ALL","2014","11.48"
"AUT","","ALL","1988","18.48"
"TKM","","ALL","2001","81.65"
"CZE","","ALL","1983","38.9"
"","NORDIC","ALL","2006","5.67"
"","NORDIC","ALL","2010","6.16"
"MDA","","ALL","1994","60.39"
"MDA","","ALL","1990","39.62"
"SWE","","ALL","2009","6.15"
"BLR","","ALL","1993","40.06"
"BLR","","ALL","1997","58.56"
"BLR","","ALL","1992","23.44"
"DNK","","ALL","1994","9.51"
"CHE","","ALL","2012","5.2"
"UKR","","ALL","1981","51.12"
"SVN","","ALL","1999","21.3"
"BLR","","ALL","1998","60.34"
"SWE","","ALL","1996","5.62"
"GEO","","ALL","2013","76.53"
"MNE","","ALL","2014","18.07"
"UKR","","ALL","2003","163.13"
"DEU","","ALL","1998","12.73"
"DEU","","ALL","2002","8.4"
"GEO","","ALL","2005","103.25"
"SVK","","ALL","2004","12.34"
"ITA","","ALL","1991","6.5"
"ITA","","ALL","1995","9.9"
"POL","","ALL","1991","43.13"
"CZE","","ALL","1994","18.96"
"","SEEHN","ALL","2007","65.32"
"","SEEHN","ALL","1996","65.01"
"NLD","","ALL","1984","9.71"
"FRA","","ALL","2004","8.45"
"ARM","","ALL","1991","20.52"
"","CIS","ALL","1980","56.51"
"LUX","","ALL","1998","10.32"
"BEL","","ALL","1987","17.95"
"AUT","","ALL","2005","11.28"
"KGZ","","ALL","2010","103.75"
"AUT","","ALL","2003","11.65"
"ESP","","ALL","1995","22.35"
"","CARINFONET","ALL","2000","99.2"
"KAZ","","ALL","1994","62.24"
"","SEEHN","ALL","1984","51.31"
"CHE","","ALL","1980","18.36"
"SVK","","ALL","2014","5.9"
"SWE","","ALL","2010","6.56"
"","EU_MEMBERS","ALL","1990","21.6"
"DEU","","ALL","2012","4.92"
"SWE","","ALL","2008","5.59"
"MCO","","ALL","1982","0"
"UKR","","ALL","1982","49.07"
"GRC","","ALL","1998","10.63"
"HUN","","ALL","1985","45.56"
"GRC","","ALL","1990","8.63"
"BGR","","ALL","1995","38.6"
"BGR","","ALL","1997","41.35"
"MLT","","ALL","2011","7.21"
"GRC","","ALL","1984","19.77"
"SWE","","ALL","2001","4.43"
"BGR","","ALL","1990","25.09"
"ROU","","ALL","2001","127.54"
"","WHO_EURO","ALL","1995","33.87"
"SVK","","ALL","1981","45.92"
"SVK","","ALL","1982","44.77"
"CHE","","ALL","1996","10.82"
"MCO","","ALL","2010","2.86"
"","EU_BEFORE_MAY2004","ALL","1982","20.46"
"NLD","","ALL","1981","12.17"
"CZE","","ALL","2000","13.76"
"TKM","","ALL","2003","88.95"
"ISL","","ALL","1984","10.86"
"UKR","","ALL","1995","41.85"
"FRA","","ALL","2002","9.57"
"","CARINFONET","ALL","1990","54.5"
"ISR","","ALL","1990","5.02"
"BIH","","ALL","2012","36.73"
"ISR","","ALL","2001","7.95"
"CZE","","ALL","1980","48.05"
"SRB","","ALL","2015","23.12"
"","EU_MEMBERS","ALL","1989","21.67"
"","NORDIC","ALL","1990","8.55"
"PRT","","ALL","2013","22.36"
"AUT","","ALL","2001","12.6"
"KGZ","","ALL","2012","110.48"
"RUS","","ALL","1980","53.63"
"","NORDIC","ALL","1987","11.38"
"ROU","","ALL","2009","96.15"
"MDA","","ALL","1995","67.42"
"GBR","","ALL","1984","12.46"
"ALB","","ALL","1981","35.01"
"UKR","","ALL","2013","80.69"
"BLR","","ALL","1996","54.61"
"KAZ","","ALL","1989","80.47"
"PRT","","ALL","1998","51.77"
"KGZ","","ALL","1988","51.18"
"GRC","","ALL","1983","39.4"
"BGR","","ALL","1998","49.86"
"SWE","","ALL","1997","5.15"
"KGZ","","ALL","1996","90.09"
"GEO","","ALL","2002","103.05"
"LVA","","ALL","1999","79.11"
"BEL","","ALL","2011","8.75"
"BIH","","ALL","1981","105.96"
"GEO","","ALL","2008","100.9"
"POL","","ALL","1992","43.14"
"ITA","","ALL","1994","10.23"
"NOR","","ALL","2009","6.79"
"ARM","","ALL","2014","44.21"
"DNK","","ALL","2016","5.1"
"ESP","","ALL","2008","17"
"IRL","","ALL","1989","19.12"
"FIN","","ALL","2008","6.23"
"DEU","","ALL","2015","7.03"
"KGZ","","ALL","1984","51.67"
